Date,WeekStart,TargetDate,ModelVersion,Ticker,Region,HorizonDays,ER_Pct,Notes
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,WINE,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,EL,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,AG,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,H2O,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,SNN,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,AQ,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,SNP,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,TRP,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,AROBS,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,FP,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,TLV,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,ALR,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,GSH,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,HAI,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,NRF,RO,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,BATE.DE,EU,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,LHA.DE,EU,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,BABA,US,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,JD,US,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,NIO,US,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
2025-12-19,2025-12-22,2025-12-26,StockD_WEEKLY_BASE,PATH,US,5,0.0,"weekly forecast (adj=calib*reliability, clipped)"
